kernel,tokens,d_model,hidden_dim,dtype,ms,gb_per_s,max_abs,max_rel,mean_rel
pytorch_eager,512,4096,4096,bfloat16,0.0710,1062.6,297.093750,0.0266,0.001358
pytorch_eager,2048,4096,4096,bfloat16,0.2190,459.6,297.117188,0.0427,0.001357
pytorch_eager,8192,4096,4096,bfloat16,0.8711,231.1,333.300781,0.0587,0.001357
pytorch_eager,8192,8192,8192,bfloat16,3.4527,155.5,722.031250,0.3839,0.001322
pytorch_eager,32768,4096,8192,bfloat16,7.4609,125.9,452.820312,0.0813,0.001357
pytorch_eager,65536,4096,8192,bfloat16,14.4158,121.0,398.792969,0.0889,0.001357
pytorch_compile_separate,512,4096,4096,bfloat16,0.0627,1203.2,297.093750,0.0266,0.001332
pytorch_compile_separate,2048,4096,4096,bfloat16,0.2051,490.8,297.117188,0.0427,0.001331
pytorch_compile_separate,8192,4096,4096,bfloat16,0.8262,243.7,333.300781,0.0587,0.001331
pytorch_compile_separate,8192,8192,8192,bfloat16,3.2730,164.0,722.031250,0.3839,0.001303
pytorch_compile_separate,32768,4096,8192,bfloat16,6.9907,134.4,452.820312,0.0813,0.001331
pytorch_compile_separate,65536,4096,8192,bfloat16,14.0228,124.4,398.792969,0.0889,0.001331
pytorch_compile_stacked,512,4096,4096,bfloat16,0.1038,727.2,297.093750,0.0266,0.001332
pytorch_compile_stacked,2048,4096,4096,bfloat16,0.2459,409.4,297.117188,0.0427,0.001331
pytorch_compile_stacked,8192,4096,4096,bfloat16,0.8641,233.0,333.300781,0.0587,0.001331
pytorch_compile_stacked,8192,8192,8192,bfloat16,3.5352,151.9,722.031250,0.3839,0.001303
pytorch_compile_stacked,32768,4096,8192,bfloat16,7.4000,127.0,452.820312,0.0813,0.001331
pytorch_compile_stacked,65536,4096,8192,bfloat16,15.8118,110.4,398.792969,0.0889,0.001331
cutedsl,512,4096,4096,bfloat16,0.1090,692.8,128.316406,0.0286,0.000762
cutedsl,2048,4096,4096,bfloat16,0.3161,318.5,128.382812,0.0408,0.000761
cutedsl,8192,4096,4096,bfloat16,1.1380,176.9,243.718750,0.0587,0.000761
cutedsl,8192,8192,8192,bfloat16,4.3776,122.6,257.312500,0.3799,0.000756
cutedsl,32768,4096,8192,bfloat16,10.2268,91.9,214.015625,0.0804,0.000761
cutedsl,65536,4096,8192,bfloat16,20.4317,85.4,249.093750,0.0850,0.000761
cutedsl_pipelined,512,4096,4096,bfloat16,0.0742,1018.0,128.316406,0.0286,0.000762
cutedsl_pipelined,2048,4096,4096,bfloat16,0.2648,380.2,128.382812,0.0408,0.000761
cutedsl_pipelined,8192,4096,4096,bfloat16,1.0546,190.9,243.718750,0.0587,0.000761
cutedsl_pipelined,8192,8192,8192,bfloat16,4.0312,133.2,257.312500,0.3799,0.000756
cutedsl_pipelined,32768,4096,8192,bfloat16,9.8641,95.2,214.015625,0.0804,0.000761
cutedsl_pipelined,65536,4096,8192,bfloat16,19.9112,87.6,249.093750,0.0850,0.000761
helion_dot,512,4096,4096,bfloat16,0.0556,1356.7,128.316406,0.0286,0.000762
helion_dot,2048,4096,4096,bfloat16,0.2036,494.5,128.382812,0.0408,0.000761
helion_dot,8192,4096,4096,bfloat16,0.7912,254.5,243.718750,0.0587,0.000761
helion_dot,8192,8192,8192,bfloat16,3.5637,150.7,257.312500,0.3799,0.000756
helion_dot,32768,4096,8192,bfloat16,6.7595,139.0,214.015625,0.0804,0.000761
helion_addmm,512,4096,4096,bfloat16,0.0615,1227.9,128.316406,0.0286,0.000762
helion_addmm,2048,4096,4096,bfloat16,0.2173,463.1,128.382812,0.0408,0.000761
helion_addmm,8192,4096,4096,bfloat16,0.8737,230.4,243.718750,0.0587,0.000761
helion_addmm,8192,8192,8192,bfloat16,3.2729,164.0,257.312500,0.3799,0.000756
helion_addmm,32768,4096,8192,bfloat16,7.3119,128.5,214.015625,0.0804,0.000761
helion_addmm,65536,4096,8192,bfloat16,13.2062,132.1,249.093750,0.0850,0.000761
